"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","RepetitionIntervalExponentialThenCyclic","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SdTest","SdTest",""
"","0","IPv4_IsNotIPv6","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","EndpointTest","EndpointTest",""
"Test multiple clients sending to the same server concurrently.","2511","test_echo_concurrent_clients","integration","Thu Sep 24 03:16:37 UTC 2026","passed","Thu Sep 24 03:16:40 UTC 2026","","test_echo_integration","",""
"","0","InvalidEndpointHandling","","Thu Sep 24 03:19:49 UTC 2026","passed","Thu Sep 24 03:19:49 UTC 2026","","UdpTransportTest","UdpTransportTest",""
"","1","test_tp_response_wire_type_is_0xa0","","Thu Sep 24 03:16:32 UTC 2026","passed","Thu Sep 24 03:16:32 UTC 2026","","pytest","integration.test_tp_udp_integration",""
"","20","PredicateExceptionPreservesMutexOwnership","","Thu Sep 24 03:19:33 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","ConditionVariableTest","ConditionVariableTest",""
"","0","SdMessageOptions","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SdTest","SdTest",""
"","","boundary_min_u8","","","passed","","","test_core","test_core",""
"","0","PredefinedEndpoints","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","EndpointTest","EndpointTest",""
"","0","DefaultConstructor","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","MessageTest","MessageTest",""
"
        Verify that SOME/IP message format supports the fields needed
        for E2E profile plugin dispatch (service_id + method_id identify
        the protection scope).

        @test_case TC_E2E_INT_006
        @tests REQ_E2E_PLUGIN_002
        @tests REQ_E2E_PLUGIN_003
        ","0","test_plugin_registration","integration","Thu Sep 24 03:16:32 UTC 2026","passed","Thu Sep 24 03:16:32 UTC 2026","E2EIntegrationTest","test_e2e_integration","",""
"","0","ValidateSession_InactiveState","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SessionManagerTest","SessionManagerTest",""
"","0","ReassemblyProgressCountsBytes","","Thu Sep 24 03:19:50 UTC 2026","passed","Thu Sep 24 03:19:50 UTC 2026","","TpTest","TpTest",""
"","0","SerializeDeserializeRoundTrip","","Thu Sep 24 03:19:33 UTC 2026","passed","Thu Sep 24 03:19:33 UTC 2026","","CapiMessage","CapiMessage",""
"","0","DeserializeTruncatedHeader","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SdTest","SdTest",""
"","0","CRCType0_Corruption","","Thu Sep 24 03:19:50 UTC 2026","passed","Thu Sep 24 03:19:50 UTC 2026","","E2ETest","E2ETest",""
"","10","WrongInterfaceVersionReturnsError","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","RpcTest","RpcTest",""
"","0","EventConfigPeriodic","","Thu Sep 24 03:19:40 UTC 2026","passed","Thu Sep 24 03:19:40 UTC 2026","","EventsTest","EventsTest",""
"","","tp_stats_manager_init","","","passed","","","test_core","test_core",""
"","0","RemoveSession","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SessionManagerTest","SessionManagerTest",""
"","0","AddEntryReturnsBool","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","SdTest","SdTest",""
"","3","CapiSdTest","","Thu Sep 24 03:19:32 UTC 2026","passed","Thu Sep 24 03:19:32 UTC 2026","","(empty)","CapiSdTest",""
"","0","StringAppend","","Thu Sep 24 03:17:51 UTC 2026","passed","Thu Sep 24 03:17:51 UTC 2026","","ContainerTest","ContainerTest",""
"","0","IPv6_MCDC_D5_TripleColon","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","EndpointTest","EndpointTest",""
"","0","IPv6_MCDC_D2_AllValidChars","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","EndpointTest","EndpointTest",""
"","0","IPv6_MCDC_D7_CompressionTooManyGroups","","Thu Sep 24 03:19:34 UTC 2026","passed","Thu Sep 24 03:19:34 UTC 2026","","EndpointTest","EndpointTest",""
